Newspaper,Person,NumberArticles,Percent
Daily Express,Prince Harry,47,43.5
Daily Express,Prince William,10,9.2
Daily Express,Penny Mordaunt,9,8.3
Daily Express,Princess Kate,13,12
Daily Express,"George, Charlotte and Louis",18,16.7
Daily Express,Meghan Markle,11,10.1
The Sun,Prince Harry,14,35
The Sun,Prince William,5,12.5
The Sun,Penny Mordaunt,1,2.5
The Sun,Princess Kate,6,15
The Sun,"George, Charlotte and Louis",11,27.5
The Sun,Meghan Markle,3,7.5
The Telegraph,Prince Harry,12,50
The Telegraph,Prince William,1,4.1
The Telegraph,Penny Mordaunt,2,8.3
The Telegraph,Princess Kate,4,16.7
The Telegraph,"George, Charlotte and Louis",4,16.7
The Telegraph,Meghan Markle,1,4.1
The Times,Prince Harry,3,33.3
The Times,Prince William,2,22.2
The Times,Penny Mordaunt,1,11
The Times,Princess Kate,2,22.2
The Times,"George, Charlotte and Louis",1,11.1